time,Hash,Sender,Receiver,"Transaction_amount_BTC",Price,"Transaction_amount_USD"
"2015-12-22",c28d8ec29a2f1fd050d52baf3aa4061f57192802a6a9b5366f053c65b611609f,1PJjkbyh1VTBYWDEEWRNFer8bNMKKH8vUE,1uDKpz9mkZhvamJGNKtxyaYdgd6xSAgW5,"2600.28064992","438.58118466898964","1140434.16791"
"2015-12-22",41d311997a05119f47364812115d1268b03fde497cc913a0a595427011d76b5b,1KeV9UMqPry9Ecj8JRARsQZxxLBGVVrqx1,1PJjkbyh1VTBYWDEEWRNFer8bNMKKH8vUE,"2601.28074992","438.58118466898964","1140872.79296"
"2015-12-22",9256a3f70b2988683d511c1698e3ad19e3e6a0fcd50157986ef83d5cbad510d3,3PrJKFQj4LvMj3Vxjue56b1EgGCHH7Kr4k,364DxzSHQiWqYpsn6X7iwLz6yW3ezF2Y1X,"2856.01696964","438.58118466898964","1252595.30598"
"2015-12-22",933755a7067eef58d5f1cddbde45644f1056a2059ff83a7ce988626e15994ca1,337Gjhye9UhiDDj55WsSJDXasUWLDHJNbg,38B8oxT1ycDzxH87MsjKUMWwUHXNXRHftz,"2561.37017231","438.58118466898964","1123368.76455"
"2015-12-22",bea43abe4597021e22c5a50a454dc9f3efecb5b01e67e60170fa7dbcdda7d261,32mzLhbjZSB2HQmaFoz7z8YCuQmFC88Lcc,3PrJKFQj4LvMj3Vxjue56b1EgGCHH7Kr4k,"2936.34704569","438.58118466898964","1287826.56590"
"2015-12-22",422e89f6554cbba08189a95ceb2a26efa9c3ecb5ebcf51d27d6045d98bf1dfcf,3Jb6eimhV4y8XLfinLM845VvinZASrMzt2,3BkSWLyvrW3ykHZSDdFHcqUeSzeYmkn7e5,"2950.5370513","438.58118466898964","1294050.0354"
"2015-12-22",0605d9e5d6ccb74568470f18d80e17edcedf636904ad1700e73a4d7cd261a6a6,"38CprCpTTXJSVJkyKCxthJYWx3w6rWyXWP
3GHbQgzWX7xegaFa6KbZgkhxi6DpteH9ct",337Gjhye9UhiDDj55WsSJDXasUWLDHJNbg,"2701.41529012","438.58118466898964","1184789.91822"
"2015-12-22",aea73158c5edefed25a82a186f72d214fb84bcf118d7bbc4328a9434fa54dc29,"3KFZMTb4edC5f89VGEPxPfFujaBt5mnFFA
3DSoHndypo8x7paD1cT71gm5Burkv9t7yv",3Jb6eimhV4y8XLfinLM845VvinZASrMzt2,"2970.269825","438.58118466898964","1302704.459"
"2015-12-22",7c10e2c853b589c514f624e0313012216738a5839183720424c339eafc7d7d4c,14TeXru8nhka51Rfka6feStFLdGGStjq36,1KeV9UMqPry9Ecj8JRARsQZxxLBGVVrqx1,"2602.31084992","438.58118466898964","1141324.57543"
"2015-12-22",36e5e399ef2584e65a7633c13939b26cf178bfef8bb46629d5f2b4159abb0c84,"3JkpAyp8uvtSu8o1NPuW3aFJVCtXPMcJR2
37gCHeuSbDKg1eLiyGxbE3nZqk6myemcc1",3GHbQgzWX7xegaFa6KbZgkhxi6DpteH9ct,"2926.41583835","438.58118466898964","1283470.92522"
